geo,variable,action,n_leading,n_trailing,n_interior_interp
MT,sdg_08_10_2,forecast avant TimesFM (2 pt),0,2,0
NL,demo_r_d3dens,forecast avant TimesFM (2 pt),0,2,0
NL,diesel_price_ht,forecast arrière TimesFM (1 pt),1,0,0
NL,env_air_gge,forecast avant TimesFM (3 pt),0,3,0
NL,nrg_ind_ren,forecast avant TimesFM (2 pt),0,2,0
NL,road_eqs_carhab,forecast avant TimesFM (2 pt),0,2,0
NL,road_eqs_carmot,interpolation linéaire (2 pt) + forecast avant TimesFM (2 pt),0,2,2
NL,sdg_07_11_1,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
NL,sdg_07_11_2,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
NL,sdg_07_11_3,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
NL,sdg_07_30_1,forecast avant TimesFM (2 pt),0,2,0
NL,sdg_07_30_2,forecast avant TimesFM (2 pt),0,2,0
NL,sdg_08_10_1,forecast avant TimesFM (2 pt),0,2,0
NL,sdg_08_10_2,forecast avant TimesFM (2 pt),0,2,0
PL,demo_r_d3dens,forecast avant TimesFM (2 pt),0,2,0
PL,diesel_price_ht,forecast arrière TimesFM (1 pt),1,0,0
PL,env_air_gge,forecast avant TimesFM (3 pt),0,3,0
PL,nrg_ind_ren,forecast avant TimesFM (2 pt),0,2,0
PL,road_eqs_carhab,forecast avant TimesFM (2 pt),0,2,0
PL,road_eqs_carmot,forecast avant TimesFM (12 pt),0,12,0
PL,sdg_07_11_1,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
PL,sdg_07_11_2,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
PL,sdg_07_11_3,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
PL,sdg_07_30_1,forecast avant TimesFM (2 pt),0,2,0
PL,sdg_07_30_2,forecast avant TimesFM (2 pt),0,2,0
PL,sdg_08_10_1,forecast avant TimesFM (2 pt),0,2,0
PL,sdg_08_10_2,forecast avant TimesFM (2 pt),0,2,0
RO,demo_r_d3dens,forecast avant TimesFM (2 pt),0,2,0
RO,diesel_price_ht,forecast arrière TimesFM (4 pt),4,0,0
RO,env_air_gge,forecast avant TimesFM (3 pt),0,3,0
RO,nrg_ind_ren,forecast avant TimesFM (2 pt),0,2,0
RO,road_eqs_carhab,forecast avant TimesFM (2 pt),0,2,0
RO,road_eqs_carmot,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (4 pt),4,2,0
RO,sdg_07_11_1,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
RO,sdg_07_11_2,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
RO,sdg_07_11_3,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
RO,sdg_07_30_1,forecast avant TimesFM (2 pt),0,2,0
RO,sdg_07_30_2,forecast avant TimesFM (2 pt),0,2,0
RO,sdg_08_10_1,forecast avant TimesFM (2 pt),0,2,0
RO,sdg_08_10_2,forecast avant TimesFM (2 pt),0,2,0
SK,demo_r_d3dens,forecast avant TimesFM (2 pt),0,2,0
SK,diesel_price_ht,forecast arrière TimesFM (1 pt),1,0,0
SK,env_air_gge,forecast avant TimesFM (3 pt),0,3,0
SK,nrg_ind_ren,forecast avant TimesFM (2 pt),0,2,0
SK,road_eqs_carhab,forecast avant TimesFM (2 pt),0,2,0
SK,road_eqs_carmot,ignoré (série entièrement vide),23,0,0
SK,sdg_07_11_1,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
SK,sdg_07_11_2,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
SK,sdg_07_11_3,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
SK,sdg_07_30_1,forecast avant TimesFM (2 pt),0,2,0
SK,sdg_07_30_2,forecast avant TimesFM (2 pt),0,2,0
SK,sdg_08_10_1,forecast avant TimesFM (2 pt),0,2,0
SK,sdg_08_10_2,forecast avant TimesFM (2 pt),0,2,0
